strong,diminish,tag,sentence,source
32.88,67.12,diminishing,A backup seat and a backup computer have been assigned to you.,Enron email
56.93,43.07,strong,Please read this communication in detail.,Enron email
16.85,83.15,diminishing,Purpose: Net Works has developed a backup plan for possible work stoppages after moving to the new building.,Enron email
19.45,80.55,diminishing,A wider business continuity plan will be rolled out next year.,Enron email
41.04,58.96,diminishing,"Location: Large areas of the 30th and 31st floors of the current building, Enron Center North, will be set aside for recovery purposes.",Enron email
77.12,22.88,strong,Your name has been put on the list and you will be notified once the seat assignments are finalized.,Enron email
35.58,64.42,diminishing,Locations will also be posted at the entryways on the 30th and 31st floors.,Enron email
85.19,14.81,strong,"Through November, backup seats assignments will be announced as each trading group moves to the new building.",Enron email
67.75,32.25,strong,The backup seats will be available at least to January 1st.,Enron email
2.89,97.11,diminishing,Test times to try the backup PC and to familiarize yourself with your backup location will be announced by the IT team as the locations are finished.,Enron email
9.95,90.05,diminishing,Only regular phones will be available.,Enron email
0.19,99.81,diminishing,"For those with speed dial phones, the IT team will download the numbers and leave them on a piece of paper at your seat assignment.",Enron email
3.53,96.47,diminishing,"Because the numbers change frequently, we ask that you rely on keeping track of the numbers yourself and use the number lists as a last resort.",Enron email
12.4,87.6,diminishing,The IT team is not responsible for non-technical or special needs.,Enron email
26.61,73.39,diminishing,"If you rely on hard copy forms, address books, etc, you will need to be sure to leave appropriate supplies when you test the computer, or bring supplies along if you are asked to move to your backup seat.",Enron email
0.22,99.78,diminishing,The backup floor is not meant as a backup day-to-day work environment.,Enron email
0.76,99.24,diminishing,"To keep the equipment functioning and secure, we plan to limit access except for test times and if we need to invoke the plan because of a work stoppage.",Enron email
97.51,2.49,strong,The plan will be as follows: I.,Enron email
99.99,0.01,strong,During regular business hours A.,Enron email
0.97,99.03,diminishing,You will be notified via the PA system if you need to move to the backup location.,Enron email
20.55,79.45,diminishing,"If an obvious problem like a fire or power shutdown occurs, for example, all personnel with a seat assignment will be expected to make their way to their backup seat without notification.",Enron email
72.28,27.72,strong,"After hours For after hours issues, greeters will announce the move to the backup location as people arrive to work.",Enron email
1.99,98.01,diminishing,E-mails and voice mails will also be distributed.,Enron email
0.2,99.8,diminishing,"Ladies, I will be out for a day of vacation",Enron email
61.59,38.41,strong,"Russell, Best wishes & much success on your new endeavor -- it was a pleasure working with you.",Enron email
0.01,99.99,diminishing,"Kay, The ""Financial Trading Database"" under Lotus Notes would be the definitive source regarding the Intercompany Master Agreements.",Enron email
0.01,99.99,diminishing,Let me know if you want be conduct such search.,Enron email
0.01,99.99,diminishing,"Sara, Please advise if I may be of assistance -- I believe this request requires a lawyers attention.",Enron email
0.02,99.98,diminishing,"Bob, As mentioned in my voice mail -- I can meet with you anytime this afternoon -- how about 3:30pm.",Enron email
0.19,99.81,diminishing,"Bob, I will see you in your office @ 3:30pm",Enron email
0.2,99.8,diminishing,"Diane or Patrick, Please email or provide hard copies of the Confirmation(s) ENA has with the captioned counterparty.",Enron email
0,100,diminishing,"Diane, Thanks for confirming that the trades were with ECTRIC and not ENA -- thats what I had thought.",Enron email
7.54,92.46,diminishing,Yes-- please furnish copies of the confirms for the 2 deals to me.,Enron email
2.5,97.5,diminishing,"Diane, As for the RMT matter the request is as follows: 1.",Enron email
84.8,15.2,strong,"Lives Deal as of November 30, 2001 2.",Enron email
94.92,5.08,strong,"Expired Deals since November 30, 2001 3.",Enron email
95.74,4.26,strong,"New Deals since November 30, 2001 Thanks for the help.",Enron email
2.37,97.63,diminishing,"Kay, Will deliver to you shortly.",Enron email
0.03,99.97,diminishing,"Diane, Please advise if there are any financial transactions between ENA & the captioned counterparty.",Enron email
74.66,25.34,strong,"Thanks Cordially,",Enron email
0.01,99.99,diminishing,"Diane, My request was for the financial deals.",Enron email
0,100,diminishing,But if you have access to the physical RMT/Intercompany -- I would like those too.,Enron email
0.35,99.65,diminishing,"Diane, Please advise if the financial transactions with the captioned counterparty were confirmed with ENA or ECTRIC??",Enron email
0.61,99.39,diminishing,If the transactions were ONLY confirmed with ECTRIC -- were they confirmed under the ISDA dtd.,Enron email
92.03,7.97,strong,Thanks for the help.,Enron email
4.07,95.93,diminishing,"Paul, Both ENA and ECTRIC have a master agreement in place with Morgan Stanley Capital Group, Inc., as follows: 1.",Enron email
0.01,99.99,diminishing,"ENA's is Master Agreement dated effective as of June 16, 1992, and which has been amended over time.",Enron email
0,100,diminishing,"ECTRIC's is an ISDA Master Agreement dated effective as of August 29, 1997.",Enron email
0.49,99.51,diminishing,As for your inquiry concerning nettting agreements -- Morgan Stanley has no master netting arrangements with either ENA or ECTRIC.,Enron email
8.58,91.42,diminishing,Hard copies of the aformentioned agreements will be faxed to you today.,Enron email
0.73,99.27,diminishing,"Gerald or Stacy, Can one of you handle the request made below.",Enron email
0.03,99.97,diminishing,I am not familar with your GISB documents.,Enron email
5.21,94.79,diminishing,"Richard, Per Sara'as request, please find attached a List of Master Agreements for Enron's Domestic Affiliates: Please be advised, this List was included in a binder of materials distributed to E&Y.",Enron email
6.43,93.57,diminishing,"Melissa, Set forth below is the list we discussed.",Enron email
90.02,9.98,strong,First determine if there is a physical power relationship with each counterparty listed.,Enron email
82.52,17.48,strong,"If so, please furnish confirms or a listing that evidence the following requests: 1.",Enron email
0.06,99.94,diminishing,"Live Deals as of November 30, 2001 2.",Enron email
15.14,84.86,diminishing,"New Deals since November 30, 2001 This request must be handled on an expedited, ASAP basis.",Enron email
37.96,62.04,diminishing,"Patrick, Please furnish a hard copy of each of the swap confirmations for: Deal Nos.",Enron email
0.77,99.23,diminishing,V48090.1 & V48242.1 These deals were referenced by the Counterparty.,Enron email
40.47,59.53,diminishing,"However, there may be additional confirmations for other financial transactions, therefore, please those confirmations as well (if any).",Enron email
63.73,36.27,strong,Thank for all the help.,Enron email
0.08,99.92,diminishing,"Ellen, Please check to see if there are any ""live"" physical deals with the captioned counterparty.",Enron email
0.17,99.83,diminishing,"If so, please provide a hard copy of the confirmation(s) evidencing such deals.",Enron email
23.78,76.22,diminishing,"I wuld appreciate receipt of such confirmations by Wednesday, February 6th.",Enron email
12.19,87.81,diminishing,Many thanks for all your help.,Enron email
0,100,diminishing,"Ellen, Yes, that is their actual name.",Enron email
0,100,diminishing,I guess they have not done any physical deals.,Enron email
0.89,99.11,diminishing,"Ellen, I have just found out that US Brick may also transact business under the name Tiffany Brick Company, L.P.",Enron email
1.21,98.79,diminishing,So please conduct another search under that name.,Enron email
0.54,99.46,diminishing,"And if there are confirms, please furnish the hard copies to me.",Enron email
0,100,diminishing,"Guys, Also conduct the search under the name of Tiffany Brick Company, L.P. as we have just found out that the confirms may be under that name.",Enron email
12.81,87.19,diminishing,"All, Attached is the most recent working list of the Confirmation Desk members which will be remain with the Enron Estate.",Enron email
12.24,87.76,diminishing,"Cordially, Susan S. Bailey Enron North America Corp. 1400 Smith Street, Suite 3803A Houston, Texas",Enron email
0.27,99.73,diminishing,"Mary Nell & Ted, As discussed, attached is an individual ""Master Log"" for: (a) ECTRIC, (b) EFET/EEFTL, and (c) Enron Credit Limited/Enron Credit Inc. Each Master Log was based on Houston's Termination Log as of 2-11-02.",Enron email
55.66,44.34,strong,"In reviewing the respective Master Logs you will notice that: (a) the attached Master Logs include some of the same entries -- because the termination letter may have related to various Enron affiliates; (b) each of the attached Master Logs includes some counterparties also represented on the London Log entitled ""Schedule of Claims"" - because in many cases the Enron entity was not identified in the London Log; and (c) the following Tab Numbers (being the number that appears in the London Log) represent those counterparties which appear as a counterparty entry in one or more of the attached Master Logs and those counterparty entries on the London Log need to be identified with one or more of the attached Master Logs: Tab No.",Enron email
77.92,22.08,strong,1-3 5-8 14-16B 19 21& 22 27 &28 31-40 41 (Nordea Bank Finland Plc) 42 44 47-50 52-54 72 79-84 88-90 99 106 109 116 You are receiving all notices relating to the U.K. Enron entities and can update/maintain the attached Master Logs accordingly.,Enron email
0,100,diminishing,Please let me or Sara know if you have any questions or need additional assistance.,Enron email
9.32,90.68,diminishing,"All, Set forth below is the list of the Non-Terminated Top Ten Counterparties, where Enron is In-The-Money.",Enron email
4.76,95.24,diminishing,"First determine where if applicable in your respective confirm worlds whether the appropriate Enron affiliate has a (i) physical gas, coal, steel, pulp & paper, lumber & etc.",Enron email
53.65,46.35,strong,"New Deals since November 30, 2001 This request must be handled on an expedited -- ASAP basis to be furnished by Monday, February 4th.",Enron email
0.02,99.98,diminishing,"Diane, I too noted that BP Capital Energy Fund L.P. had terminated by mutual termination; however, include them on your list for the time being.",Enron email
